,
0.493606,
0.156801,
0.199756,
0.283099,
0.454144,
0.243809,
0.172106,
0.176808,
0.534001,
0.626851,
0.229780,
0.186696,
0.190095,
0.135182,
0.128553,
0.153685,
0.150340,
0.634235,
0.302235,
0.571851,
0.483899,
0.450487,
0.280116,
0.036764,
0.017005,
0.030991,
0.251950,
0.403306,
0.469442,
0.368590,
0.397517,
0.281085,
0.189535,
0.174891,
0.138679,
0.397919,
0.495949,
0.235499,
0.130541,
0.200544,
0.220950,
0.340380,
0.332324,
0.232252,
0.558801,
0.325183,
0.223111,
0.079488,
0.222936,
0.548618,
0.535493,
0.306670,
0.108654,
0.308016,
0.111937,
0.098786,
0.045841,
0.268876,
0.853353,
0.353150,
0.157800,
0.080813,
0.137688,
0.428726,
0.392483,
0.128595,
0.216966,
0.203781,
0.086362,
0.048058,
0.244896,
0.698049,
0.274570,
0.054115,
0.034024,
0.052102,
0.037957,
0.034949,
0.035601,
0.147623,
0.944505,
0.129645,
0.313665,
0.366831,
0.598746,
0.541363,
0.052803,
0.042795,
0.026877,
0.305499,
0.186015,
0.318497,
0.406869,
0.557919,
0.497789,
0.222522,
0.202347,
0.085031,
0.204102,
0.243734,
0.210770,
0.287372,
0.275727,
0.542108,
0.452457,
0.348005,
0.137615,
0.314511,
0.095447,
0.077048,
0.054768,
0.192924,
0.861785,
0.405002,
0.116795,
0.061507,
0.143565,
0.096742,
0.053131,
0.036503,
0.289143,
0.853214,
0.368239,
0.143074,
0.077542,
0.113253,
0.536674,
0.232693,
0.065292,
0.087098,
0.419889,
0.009635,
0.003054,
0.163511,
0.665464,
0.303560,
0.030212,
0.025305,
0.037330,
0.040532,
0.027341,
0.022037,
0.136136,
0.939945,
0.110831,
0.071476,
0.202616,
0.518249,
0.722885,
0.157124,
0.118406,
0.056224,
0.329456,
0.084724,
0.086201,
0.242604,
0.505998,
0.764316,
0.216051,
0.174514,
0.066841,
0.068716,
0.138601,
0.088568,
0.207590,
0.322637,
0.817447,
0.309436,
0.192908,
0.077517,
0.136251,
0.330921,
0.053077,
0.025321,
0.054726,
0.722454,
0.288308,
0.056098,
0.048356,
0.522965,
0.435010,
0.112694,
0.028178,
0.136978,
0.605146,
0.227444,
0.110486,
0.093118,
0.582837,
0.544198,
0.036410,
0.011513,
0.012419,
0.744435,
0.002688,
0.008391,
0.062412,
0.379579,
0.511832,
0.082507,
0.076716,
0.247907,
0.207004,
0.036895,
0.038636,
0.115527,
0.777707,
0.136044,
0.075247,
0.182462,
