,
0.726968,
0.321156,
0.163312,
0.169987,
0.168567,
0.078230,
0.236791,
0.201540,
0.426131,
0.436116,
0.262438,
0.202613,
0.230312,
0.485942,
0.135375,
0.181903,
0.174576,
0.573413,
0.205146,
0.323403,
0.224740,
0.241200,
0.787065,
0.145079,
0.061593,
0.084359,
0.305305,
0.325603,
0.312818,
0.246342,
0.228528,
0.622667,
0.294867,
0.194272,
0.163476,
0.379594,
0.454571,
0.129827,
0.208417,
0.158538,
0.236296,
0.362066,
0.314954,
0.230774,
0.607090,
0.617189,
0.292194,
0.184179,
0.122453,
0.148430,
0.111090,
0.147865,
0.137759,
0.639978,
0.464184,
0.167450,
0.147839,
0.185912,
0.651607,
0.273717,
0.203569,
0.237233,
0.320690,
0.661305,
0.248183,
0.247094,
0.282488,
0.216919,
0.157583,
0.278063,
0.254972,
0.382112,
0.496313,
0.203896,
0.307057,
0.427673,
0.194058,
0.173239,
0.256978,
0.245984,
0.490609,
0.231959,
0.424232,
0.406702,
0.347787,
0.624515,
0.106002,
0.096983,
0.140882,
0.222152,
0.176984,
0.311805,
0.335871,
0.233673,
0.710561,
0.287153,
0.180622,
0.194430,
0.215082,
0.228997,
0.142022,
0.171673,
0.107820,
0.606617,
0.482046,
0.279082,
0.306490,
0.337815,
0.463051,
0.402265,
0.210618,
0.180575,
0.232816,
0.209257,
0.253031,
0.357875,
0.506666,
0.322269,
0.200159,
0.179031,
0.253197,
0.672167,
0.353775,
0.238144,
0.233163,
0.268097,
0.361556,
0.147371,
0.349241,
0.358621,
0.575377,
0.269783,
0.279873,
0.227761,
0.250870,
0.380848,
0.322852,
0.417602,
0.572300,
0.219642,
0.165334,
0.186605,
0.185799,
0.322307,
0.124139,
0.335534,
0.449261,
0.433373,
0.634964,
0.155618,
0.090895,
0.172968,
0.129551,
0.143098,
0.215790,
0.293968,
0.265534,
0.765275,
0.284456,
0.152623,
0.211280,
0.203808,
0.227860,
0.148929,
0.094641,
0.136429,
0.616013,
0.376533,
0.362104,
0.352954,
0.348405,
0.278381,
0.234285,
0.119161,
0.146517,
0.099821,
0.197995,
0.571104,
0.553716,
0.387327,
0.405599,
0.183223,
0.142300,
0.281977,
0.666826,
0.254926,
0.165973,
0.240194,
0.327529,
0.326673,
0.273186,
0.188201,
0.172586,
0.715471,
0.159713,
0.182292,
0.229057,
0.361033,
0.138408,
0.254885,
0.306632,
0.649765,
0.582100,
0.156335,
0.099132,
0.087579,
0.137407,
0.121828,
0.344083,
0.330871,
0.579208,
0.576371,
0.174644,
0.072635,
0.163461,
0.164648,
0.259562,
0.397717,
0.220901,
0.394103,
0.511434,
0.224065,
0.182520,
0.290994,
0.374932,
0.223287,
0.173202,
0.072502,
0.317051,
0.539590,
0.407562,
0.426808,
0.268703,
0.320525,
0.181562,
0.119454,
0.088323,
0.219925,
0.406204,
0.453966,
0.475170,
0.307544,
0.452926,
0.404663,
0.216648,
0.134664,
0.241892,
0.289241,
0.220286,
0.090658,
0.278684,
0.703275,
0.658119,
0.214420,
0.092936,
0.179357,
0.475483,
0.079447,
0.100193,
0.133905,
0.468757,
0.213917,
0.108973,
0.167748,
0.584766,
0.715858,
0.177167,
0.087278,
0.060390,
0.131026,
0.118699,
0.188096,
0.156334,
0.641090,
0.653362,
0.218868,
0.090259,
0.090855,
0.154620,
0.283527,
0.386670,
0.116026,
0.504626,
0.429249,
0.300087,
0.176353,
0.235120,
0.375900,
0.139047,
0.142373,
0.079528,
0.267131,
0.669344,
0.529469,
0.284253,
0.169976,
0.211336,
0.564247,
0.061594,
0.063113,
0.170384,
0.520236,
0.438061,
0.214342,
0.140532,
0.341442,
0.917719,
0.072023,
0.032133,
0.058208,
0.116371,
0.114129,
0.044151,
0.088210,
0.334495,
0.910424,
0.063844,
0.028094,
0.089298,
0.328674,
0.013358,
0.027338,
0.031742,
0.219837,
0.598407,
0.146102,
0.135082,
0.462255,
0.570407,
0.191646,
0.050248,
0.036266,
0.150678,
0.114704,
0.126200,
0.124213,
0.594978,
0.710208,
0.276361,
0.095252,
0.042126,
0.099348,
0.263076,
